iter	Passed	Remaining
807	32186	7648
808	32231	7609
809	32279	7571
810	32313	7530
811	32354	7491
812	32402	7453
813	32445	7413
814	32485	7374
815	32520	7333
816	32561	7293
817	32595	7252
818	32634	7212
819	32669	7171
820	32709	7131
821	32748	7091
822	32793	7052
823	32829	7012
824	32900	6978
825	32981	6947
826	33049	6913
827	33129	6881
828	33191	6846
829	33249	6810
830	33318	6775
831	33376	6739
832	33418	6699
833	33487	6665
834	33539	6627
835	33576	6586
836	33620	6547
837	33657	6506
838	33697	6466
839	33741	6426
840	33778	6386
841	33822	6346
842	33870	6307
843	33921	6269
844	33959	6229
845	33995	6188
846	34037	6148
847	34071	6107
848	34105	6065
849	34148	6026
850	34188	5985
851	34231	5946
852	34272	5906
853	34308	5865
854	34347	5825
855	34383	5784
856	34430	5745
857	34506	5710
858	34550	5671
859	34598	5632
860	34634	5591
861	34671	5550
862	34721	5512
863	34759	5471
864	34801	5431
865	34845	5391
866	34890	5352
867	34941	5313
868	34984	5273
869	35023	5233
870	35066	5193
871	35099	5152
872	35137	5111
873	35177	5071
874	35224	5032
875	35271	4992
876	35312	4952
877	35361	4913
878	35401	4873
879	35435	4832
880	35485	4793
881	35527	4753
882	35559	4711
883	35593	4670
884	35640	4631
885	35679	4590
886	35720	4550
887	35760	4510
888	35794	4469
889	35837	4429
890	35879	4389
891	35926	4349
892	35971	4310
893	36009	4269
894	36046	4228
895	36100	4190
896	36161	4152
897	36218	4113
898	36262	4073
899	36308	4034
900	36344	3993
901	36370	3951
902	36400	3910
903	36427	3868
904	36455	3826
905	36483	3785
906	36513	3743
907	36540	3702
908	36566	3660
909	36597	3619
910	36625	3578
911	36649	3536
912	36668	3494
913	36690	3452
914	36711	3410
915	36735	3368
916	36756	3326
917	36780	3285
918	36801	3243
919	36822	3201
920	36846	3160
921	36867	3118
922	36888	3077
923	36911	3035
924	36933	2994
925	36954	2953
926	36975	2911
927	36997	2870
928	37018	2829
929	37039	2787
930	37059	2746
931	37080	2705
932	37102	2664
933	37124	2623
934	37146	2582
935	37166	2541
936	37186	2500
937	37206	2459
938	37230	2418
939	37253	2377
940	37274	2337
941	37293	2296
942	37315	2255
943	37336	2214
944	37358	2174
945	37378	2133
946	37398	2093
947	37419	2052
948	37439	2012
949	37460	1971
950	37480	1931
951	37501	1890
952	37522	1850
953	37542	1810
954	37562	1769
955	37585	1729
956	37605	1689
957	37626	1649
958	37647	1609
959	37668	1569
960	37689	1529
961	37710	1489
962	37729	1449
963	37749	1409
964	37770	1369
965	37791	1330
966	37811	1290
967	37831	1250
968	37851	1210
969	37871	1171
970	37891	1131
971	37913	1092
972	37932	1052
973	37950	1013
974	37970	973
975	37990	934
976	38015	894
977	38036	855
978	38054	816
979	38079	777
980	38098	737
981	38115	698
982	38132	659
983	38149	620
984	38163	581
985	38178	542
986	38195	503
987	38210	464
988	38223	425
989	38236	386
990	38249	347
991	38262	308
992	38274	269
993	38286	231
994	38300	192
995	38314	153
996	38327	115
997	38342	76
998	38358	38
999	38370	0
	38642	0
